Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase,Importance
__GI___statfs,2,1,1,0.000999999997475243,0.0069999999823267,0.00399999998990097,0.00424264067640765,1,0.5,0.5,0
brk,1,0,1,0.000999999997475243,0.000999999997475243,0,0,1,1,0,0
mmap64,17,0,17,0.189999999975043,0.545999999985725,0.247882352943955,0.102976867754428,1,1,0,0
_dl_map_object,1,0,1,0.00399999998990097,0.00399999998990097,0,0,1,1,0,0
fstatat64,4,0,4,0.000999999997475243,0.00299999999242573,0.00199999999495049,0.00081649657886627,1,1,0,0
__GI___close_nocancel,4,0,4,0.000999999997475243,0.000999999997475243,0.000999999997475243,0,1,1,0,0
_dl_map_object,9,3,6,0.000999999997475243,0.00399999998990097,0.00233333332744223,0.00122474486829941,0.666666666666667,0.666666666666667,0,0
_dl_map_object,22,7,15,0.000999999997475243,0.545999999985725,0.174863636356225,0.149809496629004,0.681818181818182,0.681818181818182,0,0
init_tls,1,0,1,0.00199999999495049,0.00199999999495049,0,0,1,1,0,0
__tls_init_tp,1,0,1,0,0,0,0,1,1,0,0
__tls_init_tp,1,0,1,0.000999999997475243,0.000999999997475243,0,0,1,1,0,0
__tls_init_tp,1,0,1,0.000999999997475243,0.000999999997475243,0,0,1,1,0,0
__GI___fstatat64,4,0,4,0.000999999997475243,0.00199999999495049,0.00124999999684405,0.000499999998737621,1,1,0,0
__GI___access,1,0,1,0.00299999999242573,0.00299999999242573,0,0,1,1,0,0
__libc_start_call_main,6,5,1,0.000999999997475243,0.0139999999646534,0.00433333332239272,0.00484424055432546,0.166666666666667,0.166666666666667,0,0
_exit,1,0,1,0,0,0,0,1,1,0,0
__close_nocancel,5,4,1,0.000999999997475243,0.0139999999646534,0.00359999999091087,0.00581377672682108,0,0.2,-0.2,0
_nl_find_locale,4,3,1,0.000999999997475243,0.198999999952321,0.051249999984293,0.0985101517397616,0,0.25,-0.25,0
setlocale,4,3,1,0.000999999997475243,0.198999999952321,0.051249999984293,0.0985101517397616,0,0.25,-0.25,0
main,4,3,1,0.00199999999495049,0.0139999999646534,0.00524999998674502,0.00585234994058405,0,0.25,-0.25,0
__brk,2,1,1,0.000999999997475243,0.202999999942222,0.101999999969848,0.142835569760612,0,0.5,-0.5,0
read,2,1,1,0.000999999997475243,0.0109999999722277,0.00599999998485146,0.00707106779401274,0,0.5,-0.5,0
main,2,1,1,0.000999999997475243,0.00399999998990097,0.00249999999368811,0.00212132033820382,0,0.5,-0.5,0
__GI___getdents64,2,1,1,0,0.0160000000732907,0.00800000003664536,0.0113137085508091,0,0.5,-0.5,0
_dl_sysdep_start,8,3,5,0.000999999997475243,0.225999999997839,0.134875000000534,0.108027030359272,0,0.625,-0.625,0
init_cpu_features.constprop.0,1,0,1,0.000999999997475243,0.000999999997475243,0,0,0,1,-1,0
access,1,0,1,0.00599999998485146,0.00599999998485146,0,0,0,1,-1,0
__GI___open64_nocancel,4,0,4,0.00299999999242573,0.00399999998990097,0.00374999999053216,0.000499999998737621,0,1,-1,0
__GI___read_nocancel,3,0,3,0.00199999999495049,0.00299999999242573,0.00233333332744223,0.000577350267731956,0,1,-1,0
mprotect,6,0,6,0.190999999972519,0.225999999997839,0.213499999991503,0.0119457105332188,0,1,-1,0
__GI___pread64_nocancel,4,0,4,0.000999999997475243,0.000999999997475243,0.000999999997475243,0,0,1,-1,0
dl_main,4,0,4,0.190999999972519,0.219000000015512,0.209500000011076,0.0126622799655459,0,1,-1,0
dl_main,1,0,1,0.225999999997839,0.225999999997839,0,0,0,1,-1,0
__getrlimit,1,0,1,0.000999999997475243,0.000999999997475243,0,0,0,1,-1,0
munmap,1,0,1,0.00799999997980194,0.00799999997980194,0,0,0,1,-1,0
__GI___getrandom,1,0,1,0.00100000011116208,0.00100000011116208,0,0,0,1,-1,0
__GI___libc_open,1,0,1,0.00599999998485146,0.00599999998485146,0,0,0,1,-1,0
__open64_nocancel,2,0,2,0.00299999999242573,0.00399999998990097,0.00349999999116335,0.000707106779401274,0,1,-1,0
__mmap,1,0,1,0.198999999952321,0.198999999952321,0,0,0,1,-1,0
__GI___tcgetattr,1,0,1,0.00399999998990097,0.00399999998990097,0,0,0,1,-1,0
decode_switches,1,0,1,0.00399999998990097,0.00399999998990097,0,0,0,1,-1,0
__GI___ioctl,1,0,1,0.000999999997475243,0.000999999997475243,0,0,0,1,-1,0
statx,2,0,2,0.00199999999495049,0.00199999999495049,0.00199999999495049,0,0,1,-1,0
do_lstat,2,0,2,0.00199999999495049,0.00199999999495049,0.00199999999495049,0,0,1,-1,0
gobble_file,2,0,2,0.00199999999495049,0.00199999999495049,0.00199999999495049,0,0,1,-1,0
print_dir,2,0,2,0.00199999999495049,0.00199999999495049,0.00199999999495049,0,0,1,-1,0
__GI___libc_write,1,0,1,0.00799999997980194,0.00799999997980194,0,0,0,1,-1,0
